job_id,job_class,state_id,solvent_id,input_path,input_sha256,geometry_key,geometry_sha256,smd_payload_sha256,workflow_revision,method_id,thermochemistry_convention_id,nprocs,maxcore_mb_per_rank,planning_core_h,status,reason
OF036,optfreq,M027_Q0_M1,S006,runs/orca/optfreq/OF036/OF036.inp,0ec5f9fe8b61aadfc6ae36ffceac9d92ccf887ec33dbe06a7d829a3e54c4f812,tier1:redox:M027:S006:q0:m1,00313705824cf6347046f245bbaf98d26e36b3f1762f0d4802e937a9ef95f3f4,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF037,optfreq,M027_QP1_M2,S006,runs/orca/optfreq/OF037/OF037.inp,586d059775e9056faa003613e260b92ff55733dc39e1031420a517e4adac5e56,tier1:redox:M027:S006:q1:m2,d117f55d035d9cef3415449502b0d2175dd96b29fe15efc4e05977ad13789a19,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF038,optfreq,M060_Q0_M1,S006,runs/orca/optfreq/OF038/OF038.inp,f2db25ad2ae76747e81d0788384ba275b8a61a418015c1275bdcb0f20b68c1a7,tier1:redox:M060:S006:q0:m1,876a8c5ec257491ba94ee6b04b3c35618ea03a20a509e4c819d76cfac061bdcf,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF039,optfreq,M060_QP1_M2,S006,runs/orca/optfreq/OF039/OF039.inp,18ec8d28ed7f984667e6482db4e957904439d93c4cb9715715e9583f5e5c82d8,tier1:redox:M060:S006:q1:m2,bac67348d2b8c3e979d3736aa972c21c23e78442ba552984154ea5dbdea28450,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF040,optfreq,A001_Q0_M2,S007,runs/orca/optfreq/OF040/OF040.inp,bec5aa1fb282bda409ac10dbf052decc2fb9b962c898ebb5678e450864d08c5c,tier1:redox:A001:S007:q0:m2,a12d2790ab5be3693f440201fd148dd465bda29997e03744b1a2eb61dc69869b,71509b2e6b612c71be92d3c8d9e4b95d3d3716eeb3f00509de49d0fde30791ac,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF041,optfreq,A001_QM1_M1,S007,runs/orca/optfreq/OF041/OF041.inp,3680d376e59779a1979cdd325606610440561286791716921c86b67d2a3d93b6,tier1:redox:A001:S007:q-1:m1,de6c904a523806582fbf72130da874660be62f64364278b145011b0952e585ce,71509b2e6b612c71be92d3c8d9e4b95d3d3716eeb3f00509de49d0fde30791ac,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF042,optfreq,D055_QP2_M1,S008,runs/orca/optfreq/OF042/OF042.inp,6255d3aa7ae6160fbd7d21036da004e0d3224b83608ea922acb50a0e1de392d9,surrogate:sigma_preopt:D055:S008:q2:m1,2fcf9da0fc996fed34595d441637ffbab39a08d07d80042adab1dd78c72b2c43,20f0b3d9e5e1b001b6b4d198f6d4b5b60911007a3f3e091edb170082f568fb26,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF043,optfreq,M055_Q0_M1,S008,runs/orca/optfreq/OF043/OF043.inp,fdb11403439368f9830ad4d592174fb56436bc362c9ec51081638777b3f63154,tier1:redox:M055:S008:q0:m1,ea5f4d36dd0c3a97ecb89b9539bca4ad5fa2900a2ca47820ce8494ba6211afff,20f0b3d9e5e1b001b6b4d198f6d4b5b60911007a3f3e091edb170082f568fb26,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF044,optfreq,M055_QP1_M2,S008,runs/orca/optfreq/OF044/OF044.inp,47faa1a0e53996078d72a62f1ae23fe9df4685ae21c30ae1cb3367d8628a5f7d,tier1:redox:M055:S008:q1:m2,02680670f5d65d042552eb1721308856596718e4f7f445431fc438cb5796d281,20f0b3d9e5e1b001b6b4d198f6d4b5b60911007a3f3e091edb170082f568fb26,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF045,optfreq,D038_QP2_M1,S011,runs/orca/optfreq/OF045/OF045.inp,440649125a79741d425f0e64561672fbcfceb6a6a1f66075514a96c7a19465b2,surrogate:sigma_preopt:D038:S011:q2:m1,dc1d87cf46e0d585869d0cce9169e3d0056b0b140e4ccc2abb36509aa1ab1282,a30bedf4bdd1a1f4fe3537eff26456de80870e0d221a1d3bb9427086b6dad759,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
