parent_id,input,smiles,family,site_a_atom_index_0based,site_b_atom_index_0based,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,repeat_link_rule,link_atom_pair,topology_sha256
M054,3-Hexylselenophene,CCCCCCc1cc[se]c1,Selenophenes,8,10,I,CCCCCCc1cc(I)[se]c1I,CCCCCCc1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,fce54cc3e39701bfce7d4ce1a18cc3e82a18bcefa51f6df8b73672d9b5aced9c
M055,3-Octylselenophene,CCCCCCCCc1cc[se]c1,Selenophenes,10,12,I,CCCCCCCCc1cc(I)[se]c1I,CCCCCCCCc1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,188d9ea437890bd8e1fa2c252ce15f5c217cd8d55586f4f3f5ff6fc6ebf2c750
M056,3-Fluoroselenophene,Fc1cc[se]c1,Selenophenes,3,5,I,Fc1cc(I)[se]c1I,Fc1c[cH:1][se][cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,75c0ef7016fe6523f78fa841d4e78c381c57c0801616e9bde03e9473977e4edb
M057,"3,4-Dimethylselenophene",Cc1c[se]cc1C,Selenophenes,2,4,I,Cc1c(I)[se]c(I)c1C,Cc1[cH:1][se][cH:2]c1C,copy_i.site_b--copy_i+1.site_a,C-C,c2d4eb40bf175aedcefb3a76632f5cb1a1122e7f568c662a86303cfbf1edbd64
M058,"3,4-Ethylenedioxyselenophene (EDOS)",c1[se]cc2c1OCCO2,Selenophenes,0,2,I,Ic1[se]c(I)c2c1OCCO2,[cH:1]1[se][cH:2]c2c1OCCO2,copy_i.site_b--copy_i+1.site_a,C-C,f3ef7e794c2d41d25cc837dd78ea77e33f2c66d480ea52c053d0438eab7c678c
M059,"3,4-Propylenedioxyselenophene (ProDOS)",c1[se]cc2c1OCCCO2,Selenophenes,0,2,I,Ic1[se]c(I)c2c1OCCCO2,[cH:1]1[se][cH:2]c2c1OCCCO2,copy_i.site_b--copy_i+1.site_a,C-C,c752c8fdb9ec6fb6d6ecc280d4bdfc18332e16e7927e22e851dcca4d0bf4313d
M060,Aniline,Nc1ccccc1,Anilines,0,4,I,INc1ccc(I)cc1,[NH2:1]c1cc[cH:2]cc1,copy_i.site_b--copy_i+1.site_a,C-N,8b1e52da2d2fedb85a2ccac20f72823b29fc2c6a0ceb51e06ad8168f45a354b3
M061,2-Methylaniline (o-toluidine),Cc1ccccc1N,Anilines,3,7,I,Cc1cc(I)ccc1NI,Cc1c[cH:1]ccc1[NH2:2],copy_i.site_b--copy_i+1.site_a,C-N,1261ed5d2f0d680ca0236a0abccef2ed0eaaa90b3a89145a77e804da289b7429
M062,3-Methylaniline (m-toluidine),Cc1cccc(N)c1,Anilines,2,6,I,Cc1cc(NI)ccc1I,Cc1[cH:1]ccc([NH2:2])c1,copy_i.site_b--copy_i+1.site_a,C-N,52b016af59a719fa88a4458a63344ff0b24348f92cfead64a95c6a99d0a72803
M063,2-Methoxyaniline (o-anisidine),COc1ccccc1N,Anilines,4,8,I,COc1cc(I)ccc1NI,COc1c[cH:1]ccc1[NH2:2],copy_i.site_b--copy_i+1.site_a,C-N,fc29acc4d4abdc895e246b6ebbdf9184a4c9704f463bdb81e8dff323611b1935
M064,3-Methoxyaniline (m-anisidine),COc1cccc(N)c1,Anilines,3,7,I,COc1cc(NI)ccc1I,COc1[cH:1]ccc([NH2:2])c1,copy_i.site_b--copy_i+1.site_a,C-N,bb0db8c4f5c398bf472155dc5ba965a6d3d95c928844e28a77156ba4405a98ab
