input,smiles,family
3-Ethylselenophene hexamer (n=6),CCc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]ccc6CC)cc5CC)cc4CC)cc3CC)cc2CC)c1,Selenophenes
3-Butylselenophene hexamer (n=6),CCCCc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]ccc6CCCC)cc5CCCC)cc4CCCC)cc3CCCC)cc2CCCC)c1,Selenophenes
3-Hexylselenophene hexamer (n=6),CCCCCCc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]ccc6CCCCCC)cc5CCCCCC)cc4CCCCCC)cc3CCCCCC)cc2CCCCCC)c1,Selenophenes
3-Octylselenophene hexamer (n=6),CCCCCCCCc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]ccc6CCCCCCCC)cc5CCCCCCCC)cc4CCCCCCCC)cc3CCCCCCCC)cc2CCCCCCCC)c1,Selenophenes
3-Fluoroselenophene hexamer (n=6),Fc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]ccc6F)cc5F)cc4F)cc3F)cc2F)c1,Selenophenes
"3,4-Dimethylselenophene hexamer (n=6)",Cc1c[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]cc(C)c6C)c(C)c5C)c(C)c4C)c(C)c3C)c(C)c2C)c1C,Selenophenes
"3,4-Ethylenedioxyselenophene (EDOS) hexamer (n=6)",c1[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]cc7c6OCCO7)c6c5OCCO6)c5c4OCCO5)c4c3OCCO4)c3c2OCCO3)c2c1OCCO2,Selenophenes
"3,4-Propylenedioxyselenophene (ProDOS) hexamer (n=6)",c1[se]c(-c2[se]c(-c3[se]c(-c4[se]c(-c5[se]c(-c6[se]cc7c6OCCCO7)c6c5OCCCO6)c5c4OCCCO5)c4c3OCCCO4)c3c2OCCCO3)c2c1OCCCO2,Selenophenes
Aniline hexamer (n=6),Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccccc6)cc5)cc4)cc3)cc2)cc1,Anilines
2-Methylaniline (o-toluidine) hexamer (n=6),Cc1cc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccccc6C)cc5C)cc4C)cc3C)cc2C)ccc1N,Anilines
3-Methylaniline (m-toluidine) hexamer (n=6),Cc1cccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccc(N)cc6C)cc5C)cc4C)cc3C)cc2C)c1,Anilines
2-Methoxyaniline (o-anisidine) hexamer (n=6),COc1cc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccccc6OC)cc5OC)cc4OC)cc3OC)cc2OC)ccc1N,Anilines
3-Methoxyaniline (m-anisidine) hexamer (n=6),COc1cccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccc(N)cc6OC)cc5OC)cc4OC)cc3OC)cc2OC)c1,Anilines
2-Aminophenol (o-aminophenol) hexamer (n=6),Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccccc6O)cc5O)cc4O)cc3O)cc2O)cc1O,Anilines
3-Aminophenol (m-aminophenol) hexamer (n=6),Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6cccc(O)c6)c(O)c5)c(O)c4)c(O)c3)c(O)c2)c(O)c1,Anilines
2-Fluoroaniline hexamer (n=6),Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(Nc5ccc(Nc6ccccc6F)cc5F)cc4F)cc3F)cc2F)cc1F,Anilines
"2,6-Dimethylaniline hexamer (n=6)",Cc1cc(Nc2c(C)cc(Nc3c(C)cc(Nc4c(C)cc(Nc5c(C)cc(Nc6c(C)cccc6C)cc5C)cc4C)cc3C)cc2C)cc(C)c1N,Anilines
Diphenylamine hexamer (n=6),c1ccc(Nc2ccc(-c3ccc(Nc4ccc(-c5ccc(Nc6ccc(-c7ccc(Nc8ccc(-c9ccc(Nc%10ccc(-c%11ccc(Nc%12ccccc%12)cc%11)cc%10)cc9)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,Anilines
Carbazole hexamer (n=6),c1ccc2c(c1)[nH]c1ccc(-c3ccc4[nH]c5ccc(-c6ccc7[nH]c8ccc(-c9ccc%10[nH]c%11ccc(-c%12ccc%13[nH]c%14ccc(-c%15ccc%16[nH]c%17ccccc%17c%16c%15)cc%14c%13c%12)cc%11c%10c9)cc8c7c6)cc5c4c3)cc12,Carbazoles
N-Methylcarbazole hexamer (n=6),Cn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)c5cc(-c7ccc8c(c7)c7cc(-c9ccc%10c(c9)c9cc(-c%11ccc%12c(c%11)c%11ccccc%11n%12C)ccc9n%10C)ccc7n8C)ccc5n6C)ccc3n4C)ccc21,Carbazoles
N-Ethylcarbazole hexamer (n=6),CCn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)c5cc(-c7ccc8c(c7)c7cc(-c9ccc%10c(c9)c9cc(-c%11ccc%12c(c%11)c%11ccccc%11n%12CC)ccc9n%10CC)ccc7n8CC)ccc5n6CC)ccc3n4CC)ccc21,Carbazoles
N-Hexylcarbazole hexamer (n=6),CCCCCCn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)c5cc(-c7ccc8c(c7)c7cc(-c9ccc%10c(c9)c9cc(-c%11ccc%12c(c%11)c%11ccccc%11n%12CCCCCC)ccc9n%10CCCCCC)ccc7n8CCCCCC)ccc5n6CCCCCC)ccc3n4CCCCCC)ccc21,Carbazoles
N-Octylcarbazole hexamer (n=6),CCCCCCCCn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)c5cc(-c7ccc8c(c7)c7cc(-c9ccc%10c(c9)c9cc(-c%11ccc%12c(c%11)c%11ccccc%11n%12CCCCCCCC)ccc9n%10CCCCCCCC)ccc7n8CCCCCCCC)ccc5n6CCCCCCCC)ccc3n4CCCCCCCC)ccc21,Carbazoles
N-Vinylcarbazole hexamer (n=6),C=Cn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(-c5ccc6c(c5)c5cc(-c7ccc8c(c7)c7cc(-c9ccc%10c(c9)c9cc(-c%11ccc%12c(c%11)c%11ccccc%11n%12C=C)ccc9n%10C=C)ccc7n8C=C)ccc5n6C=C)ccc3n4C=C)ccc21,Carbazoles
"3,6-Bis(thiophen-2-yl)-9-methylcarbazole hexamer (n=6)",Cn1c2ccc(-c3cccs3)cc2c2cc(-c3ccc(-c4ccc(-c5ccc6c(c5)c5cc(-c7ccc(-c8ccc(-c9ccc%10c(c9)c9cc(-c%11ccc(-c%12ccc(-c%13ccc%14c(c%13)c%13cc(-c%15ccc(-c%16ccc(-c%17ccc%18c(c%17)c%17cc(-c%19ccc(-c%20ccc(-c%21ccc%22c(c%21)c%21cc(-c%23cccs%23)ccc%21n%22C)s%20)s%19)ccc%17n%18C)s%16)s%15)ccc%13n%14C)s%12)s%11)ccc9n%10C)s8)s7)ccc5n6C)s4)s3)ccc21,Carbazoles
"3,6-Bis(EDOT-2-yl)-9-methylcarbazole hexamer (n=6)",Cn1c2ccc(-c3scc4c3OCCO4)cc2c2cc(-c3sc(-c4sc(-c5ccc6c(c5)c5cc(-c7sc(-c8sc(-c9ccc%10c(c9)c9cc(-c%11sc(-c%12sc(-c%13ccc%14c(c%13)c%13cc(-c%15sc(-c%16sc(-c%17ccc%18c(c%17)c%17cc(-c%19sc(-c%20sc(-c%21ccc%22c(c%21)c%21cc(-c%23scc%24c%23OCCO%24)ccc%21n%22C)c%21c%20OCCO%21)c%20c%19OCCO%20)ccc%17n%18C)c%17c%16OCCO%17)c%16c%15OCCO%16)ccc%13n%14C)c%13c%12OCCO%13)c%12c%11OCCO%12)ccc9n%10C)c9c8OCCO9)c8c7OCCO8)ccc5n6C)c5c4OCCO5)c4c3OCCO4)ccc21,Carbazoles
"9,9-Dimethylfluorene hexamer (n=6)",CC1(C)c2ccccc2-c2ccc(-c3ccc4c(c3)C(C)(C)c3cc(-c5ccc6c(c5)C(C)(C)c5cc(-c7ccc8c(c7)C(C)(C)c7cc(-c9ccc%10c(c9)C(C)(C)c9cc(-c%11ccc%12c(c%11)C(C)(C)c%11ccccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,Fluorenes
"9,9-Diethylfluorene hexamer (n=6)",CCC1(CC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CC)(CC)c3cc(-c5ccc6c(c5)C(CC)(CC)c5cc(-c7ccc8c(c7)C(CC)(CC)c7cc(-c9ccc%10c(c9)C(CC)(CC)c9cc(-c%11ccc%12c(c%11)C(CC)(CC)c%11ccccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,Fluorenes
"9,9-Dipropylfluorene hexamer (n=6)",CCCC1(CCC)c2ccccc2-c2ccc(-c3ccc4c(c3)C(CCC)(CCC)c3cc(-c5ccc6c(c5)C(CCC)(CCC)c5cc(-c7ccc8c(c7)C(CCC)(CCC)c7cc(-c9ccc%10c(c9)C(CCC)(CCC)c9cc(-c%11ccc%12c(c%11)C(CCC)(CCC)c%11ccccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,Fluorenes
